brand,count
United Colors of Benetton,214
Nike,192
ADIDAS,192
Puma,176
Fabindia,174
Gini and Jony,138
Wrangler,86
Lotus Herbals,80
Jealous 21,75
Colorbar,74
French Connection,74
Femella,72
Lino Perros,70
Vishudh,66
W,65
Revlon,61
Lucera,61
Lakme,59
Biba,59
Wildcraft,54
Doodle,54
Baggit,53
Aneri,52
SCULLERS,51
Catwalk,49
Arrow,48
Mother Earth,46
Shree,46
AURELIA,45
Peter England,44
Elle,43
Arrow Woman,43
Myntra,41
FILA,39
Rocia,39
Streetwear,38
Proline,37
LOCOMOTIVE,37
Flying Machine,37
Fastrack,36
SPYKAR,35
Indigo Nation,34
Tonga,34
U.S. Polo Assn.,33
Lee,33
SCULLERS FOR HER,32
Basics,32
Reid & Taylor,32
FNF,31
HIGHLANDER,31
Mark Taylor,30
Deborah,29
John Miller,27
Just Natural,25
Madagascar 3,25
Forever New,24
Biotique,24
Murcia,23
Lotto,22
Disney,22
Royal Diadem,22
Latin Quarters,21
Adrika,21
Timberland,21
ONLY,20
Urban Yoga,20
Fossil,19
Palm Tree,19
Turtle,19
Carlton London,18
Reebok,18
DIVA,18
Probase,18
s.Oliver,17
Playboy,17
Genesis,17
Red Tape,16
CASIO,16
Revv,16
Folklore,15
Alma,15
Police,15
Estelle,15
Tantra,15
ToniQ,15
Ivory Tag,14
Ant,14
Do u speak green,14
John Players,14
Alayna,13
Prafful,13
Hakashi,13
ADIDAS Originals,13
Levis Kids,13
Quechua,12
Status Quo,12
KIARA,12
AMERICAN TOURISTER,12
Avirate,12
iPanema,12
HM,12
maxima,11
Hanes,11
Wills Lifestyle,11
Sepia,10
Park Avenue,10
Portia,10
Classic Polo,10
Belmonte,10
Little Miss,10
Spice Art,10
Levis,10
roxy,10
Quiksilver,10
Clarks,9
Denizen,9
Mr. Men,9
Lee Cooper,9
Nike Fragrances,9
Titan,9
Polaroid,9
OTLS,9
Vero Moda,9
Lencia,9
Olay,8
Belkin,8
Arrow Sport,8
Rreverie,8
Mumbai Slang,8
Allen Solly,8
Span,8
Mineral,8
Rasasi,8
Domyos,8
Inkfruit,8
Cobblerz,8
Allen Solly Woman,8
Ponds,7
Woodland,7
Happy Socks,7
Q&Q,7
Remanika,7
Kraus Jeans,7
I DEE,7
Provogue,7
GAS,7
Tokyo Talkies,7
VITAL Gear,7
Franco Leone,7
Warner Bros,7
DENI YO,7
Decathlon,7
Marvel,6
Indian Terrain,6
yelloe,6
Manchester United,6
Global Desi,6
CABARELLI,6
Vans,6
Senorita,6
Sushilas,6
Mr. Men Little Miss,6
Jockey,6
BULCHEE,5
AND,5
DKNY,5
Hidekraft,5
Pepe Jeans,5
109F,5
ID,5
Converse,5
Numero Uno,5
Nyk,5
Jungle Book,5
Be For Bag,5
Pitaraa,5
New Hide,5
Enroute Men,5
Tiptopp,4
HUGO,4
Tortoise,4
Crocs,4
Ayaany,4
Colour me,4
Enroute Women,4
ESPRIT,4
GIORDANO,4
Rockport,4
Skybags,4
Spinn,4
Angry Birds,4
Gliders,4
Pacific Gold,3
Image,3
Chimp,3
2go ACTIVE GEAR USA,3
GUESS,3
Mod-acc,3
Guerrilla,3
Fusion Beats,3
Superman,3
Miki Pearl,3
4711,3
Calvin Klein,3
Ray-Ban,3
LA-EMOTIO,3
YARDLEY,3
Buckaroo,3
Inc 5,3
Regent Polo Club,3
Van Heusen,3
F Sports,3
Miami Blues,3
Hannah Montana,3
Fortune,3
BOSS,3
Pieces,3
Van Heusen Woman,3
Kama Sutra,2
Paris Hilton,2
Spalding,2
Sher Singh,2
Beatles,2
Parx,2
Stoln,2
York,2
Satya Paul,2
Horsefly,2
Rocky S,2
Chhota Bheem,2
Black coffee,2
Carrera,2
Gatsby,2
Skechers,2
DC Comics,2
Euroluxe,2
Mickey,2
Free Authority,2
Barbie,2
Timex,2
Ralph Lauren,2
Globalite,2
Peperone,2
ASPEN,2
Citizen,2
Jack & Jones,2
Red Chief,2
Homme,2
Grendha,2
Mayhem,2
Batman,2
Celine Dion,2
Ed Hardy,2
ice watch,2
Louis Philippe,2
Slazenger,2
Baldessarini,2
OAKLEY,2
Tonino Lamborghini,2
Coolers,2
Arrow New York,2
Wild stone,1
JOVAN,1
J. DEL POZO,1
JAGUAR,1
Kylie Minogue,1
vogue,1
Secret Temptation,1
ASICS,1
FOOTLOOSE,1
C Vox,1
Adidas,1
Facit,1
MTV,1
BRUT,1
Denim,1
FIFA,1
Fruit of the loom,1
Estee Lauder,1
Kipsta,1
Artengo,1
PERRY ELLIS,1
Music,1
Hugo Boss,1
Levitate,1
Speedo,1
Stens by Enroute,1
OPIUM,1
Enroute Teens,1
Salomon,1
Carlos Moya,1
dunhill,1
DAVID BECKHAM,1
Swiss Army,1
Kids Ville,1
Kelme,1
CHE GUEVARA,1
Paridhan,1
24,1
Burberry,1
Ferrari,1
Giorgio Armani,1
Allen Solly Kids,1
Envirosax,1
Lomani,1
Aerosmith,1
Nautica,1
The Amazing Spiderman,1
Ganuchi,1
F5,1
Saint James,1
Love Passport,1
Fogg,1
MISS SIXTY,1
Hidedge,1
Ediots,1
Chromozome,1
Morellato,1
Fiorelli,1
Smartoe,1
Tommy Hilfiger,1
Taylor of London,1
