filename,link
39524.jpg,http://assets.myntassets.com/v1/images/style/properties/1847a81fa1d237bfbae1e797dff55909_images.jpg
52029.jpg,http://assets.myntassets.com/v1/images/style/properties/cbc319393da4e3d0eb140d3c8a045d2c_images.jpg
39716.jpg,http://assets.myntassets.com/v1/images/style/properties/c5b0d7c1f0308be020655bc10ca16427_images.jpg
39140.jpg,http://assets.myntassets.com/v1/images/style/properties/4d16721ce6d31a02786fa271a40dbc86_images.jpg
51455.jpg,http://assets.myntassets.com/v1/images/style/properties/28d91b2c102e5742714c7f706a73eeb4_images.jpg
15341.jpg,http://assets.myntassets.com/v1/images/style/properties/f105cf31753c2cbdf23e8722dc83a019_images.jpg
7193.jpg,http://assets.myntassets.com/v1/images/style/properties/054b93509e888e996ba7b12b554870e3_images.jpg
42614.jpg,http://assets.myntassets.com/v1/images/style/properties/4067d54c1f9caba707a51d665ef0e38e_images.jpg
26163.jpg,http://assets.myntassets.com/v1/images/style/properties/987d4390421e951dafe4bfdaba57f5fd_images.jpg
7167.jpg,http://assets.myntassets.com/v1/images/style/properties/11dcaeada4fab2e575c449e922425c5d_images.jpg
44341.jpg,http://assets.myntassets.com/v1/images/style/properties/f202fe30bd9441e163b7fbcfcb53e8c2_images.jpg
5254.jpg,http://assets.myntassets.com/v1/images/style/properties/8ee197c54df34d4e59d56d847139fe49_images.jpg
22361.jpg,http://assets.myntassets.com/v1/images/style/properties/Reebok-Men-Blue-Twist-Sandals_9d151773708628e8efa686c33561b54a_images.jpg
55233.jpg,http://assets.myntassets.com/assets/images/55233/2018/5/3/11525323433330-Lakme-Nine-to-Five-Flawless-Makeup-Shell-Foundation-7251525323433284-1.jpg
39523.jpg,http://assets.myntassets.com/v1/images/style/properties/2bbf55264e3e2ae8ed8763435341fb9e_images.jpg
10861.jpg,http://assets.myntassets.com/v1/images/style/properties/adf22f809f604e821145a616e4766061_images.jpg
9667.jpg,http://assets.myntassets.com/v1/images/style/properties/ceb79e65e6f47c0364f0e4dec3331178_images.jpg
9455.jpg,http://assets.myntassets.com/v1/images/style/properties/b51ddd8d00fdcb3261069363d18b6763_images.jpg
6845.jpg,http://assets.myntassets.com/v1/images/style/properties/faf1d3dd73a661e25ed526e28fd8ea85_images.jpg
45409.jpg,http://assets.myntassets.com/v1/images/style/properties/54af17814bd8787468092abb74e7636a_images.jpg
44174.jpg,http://assets.myntassets.com/v1/images/style/properties/2dd0e7200dcf5daacf75e84254cf44da_images.jpg
27614.jpg,http://assets.myntassets.com/v1/images/style/properties/40b830e01b25eee921ea6c1ba16f1629_images.jpg
11520.jpg,http://assets.myntassets.com/v1/images/style/properties/5c145f1074d79ebf9aff413ccfe6e910_images.jpg
32590.jpg,http://assets.myntassets.com/v1/images/style/properties/36fea288ee96091dc00afe5c45ba4805_images.jpg
57107.jpg,http://assets.myntassets.com/v1/images/style/properties/Elle-Women-Green-Essentials-Top_4005e959727a4e1d62466cbac510a810_images.jpg
43735.jpg,http://assets.myntassets.com/v1/images/style/properties/844538a2e29332348d82db7ac9e654f3_images.jpg
21725.jpg,http://assets.myntassets.com/v1/images/style/properties/Adidas-Men-Navy-Blue-Sweatshirt_be449d995ae665cbce81fbce0d69ea1e_images.jpg
16368.jpg,http://assets.myntassets.com/v1/images/style/properties/9fbf62acb109790ee9cf91bf5594cf5c_images.jpg
58522.jpg,http://assets.myntassets.com/v1/images/style/properties/Wildcraft-Unisex-Orange-Chalk-Bag_b52edc6279b3e1f016a8e7d822a0b2d6_images.jpg
13428.jpg,http://assets.myntassets.com/v1/images/style/properties/121642283d962bd7397e6d615345cb43_images.jpg
56028.jpg,http://assets.myntassets.com/assets/images/56028/2019/1/11/79ad8d1e-ae5d-40a5-99f6-d4b4ac57867e1547190851117-Colorbar-Soft-Touch-Spring-Fling-Lipstick-023-30315471908508-1.jpg
14893.jpg,http://assets.myntassets.com/v1/images/style/properties/ce7a82b5bff5ddefe718d8aea080c7d7_images.jpg
44714.jpg,http://assets.myntassets.com/v1/images/style/properties/02d77ac6bf8e51ea28378b0f1bfd7e00_images.jpg
55202.jpg,http://assets.myntassets.com/assets/images/55202/2018/3/9/11520594836884-Lakme-Lip-Love-Hottie-Lip-Conditioner-511520594836863-1.jpg
52027.jpg,http://assets.myntassets.com/v1/images/style/properties/c81654aaf3e8650d5c6a99e99e4b5a31_images.jpg
57767.jpg,http://assets.myntassets.com/v1/images/style/properties/Lotus-Herbals-Whiteglow-Skin-Whitening---Brightening-Masque_f74fe710ac627cda099dc0ed533bea68_images.jpg
10054.jpg,http://assets.myntassets.com/v1/images/style/properties/dd87d19692f01880e34a6cf2b0bd9b22_images.jpg
59863.jpg,http://assets.myntassets.com/v1/images/style/properties/Olay-Women-Total-Effects-Anti-Ageing-Eye-Cream_f01717745be1cbb1a11b371c4c0805f5_images.jpg
15370.jpg,http://assets.myntassets.com/v1/images/style/properties/080c049630e5a1031def1f9733dd502a_images.jpg
35925.jpg,http://assets.myntassets.com/v1/images/style/properties/427ee57889be15f4a8d75b83efbb4fda_images.jpg
6874.jpg,http://assets.myntassets.com/v1/images/style/properties/e08b8eda1d0c1b7819fc7c4359ca67d4_images.jpg
49033.jpg,http://assets.myntassets.com/v1/images/style/properties/Lucera-Women-Silver-Ring_b18906d53ac08a9b92a28f09595042fb_images.jpg
39720.jpg,http://assets.myntassets.com/v1/images/style/properties/5651b6552ebad20ca3ffda856fa18fb7_images.jpg
9803.jpg,http://assets.myntassets.com/v1/images/style/properties/fc4b27fd39e6d5e90accaf375bb7e6bf_images.jpg
26367.jpg,http://assets.myntassets.com/v1/images/style/properties/b6d14ed28d8e41421827515783d436c3_images.jpg
16196.jpg,http://assets.myntassets.com/v1/images/style/properties/13c95c7864bdd7557f37ab96be7c854d_images.jpg
58728.jpg,http://assets.myntassets.com/v1/images/style/properties/Puma-Women-Pink-T-shirt_35327171229119b5b2a4efcb31517940_images.jpg
31116.jpg,http://assets.myntassets.com/v1/images/style/properties/ab13e5576f1a6b597ca99514da15fec6_images.jpg
54521.jpg,http://assets.myntassets.com/v1/images/style/properties/F-Sports-Men-White-Voyager-Sports-Shoes_c5ff061b1db80cb997ae9f796e838bb5_images.jpg
4774.jpg,http://assets.myntassets.com/v1/images/style/properties/603270a4ee6b0e6e03e7195dba64bc44_images.jpg
57734.jpg,http://assets.myntassets.com/v1/images/style/properties/Lotus-Herbals-Fruity-Fusion-Lip-Balm_fbd68f2c0d423a715f4163384c059d7c_images.jpg
23487.jpg,http://assets.myntassets.com/v1/images/style/properties/Arrow-Men-Grey-Scarf_9bfde8b4c94683a240bbae3681bdcadf_images.jpg
52622.jpg,http://assets.myntassets.com/v1/images/style/properties/Mod-acc-Women-Purple-Handbag_5659c1cc7d9938623fb3f0863965ddc5_images.jpg
25542.jpg,http://assets.myntassets.com/v1/images/style/properties/461b368161eddfe0d69ad79bf74ac172_images.jpg
6478.jpg,http://assets.myntassets.com/v1/images/style/properties/17db94a30b7a91f94aae9c58c5ef5778_images.jpg
21915.jpg,http://assets.myntassets.com/v1/images/style/properties/48311721ee850d92e93d6f3ac0e99d0a_images.jpg
50378.jpg,http://assets.myntassets.com/v1/images/style/properties/Vishudh-Women-Red---White-Salwar-and-Dupatta_c5a1ad65a8a37841f39fc1ad951bf5f5_images.jpg
46813.jpg,http://assets.myntassets.com/v1/images/style/properties/167c8880c4c77718ac8e2ecdf57e619c_images.jpg
46017.jpg,http://assets.myntassets.com/v1/images/style/properties/c0bf2e3ffee05f2abebfd109cb65ac4d_images.jpg
7330.jpg,http://assets.myntassets.com/v1/images/style/properties/ee45b8fcfca7d478d7ff4a08132c9cc2_images.jpg
13443.jpg,http://assets.myntassets.com/v1/images/style/properties/3b361aac347e3b1af72cb86d61c8b19c_images.jpg
2014.jpg,http://assets.myntassets.com/v1/images/style/properties/675a4ce053d49f8bd9b4f89a4b283a6f_images.jpg
18609.jpg,http://assets.myntassets.com/v1/images/style/properties/b13ae3c81ff95db21b29aaa321de80bd_images.jpg
17641.jpg,http://assets.myntassets.com/v1/images/style/properties/83da3eaafd171333554b18ddb6d4a0ee_images.jpg
33249.jpg,http://assets.myntassets.com/v1/images/style/properties/Arrow-Men-Blue-Striped-Shirt_4be987b53f40ae04dca500644ca03832_images.jpg
48522.jpg,http://assets.myntassets.com/v1/images/style/properties/French-Connection-Women-Blue-Jumpsuit_61c39054b40c0fb1eed676c5a223e51a_images.jpg
36356.jpg,http://assets.myntassets.com/v1/images/style/properties/Reid---Taylor-Men-Ties_4f686b525ff724979c1aec6e2349009d_images.jpg
23442.jpg,http://assets.myntassets.com/v1/images/style/properties/c1ec8b8061a960519b66f3ff41d406f1_images.jpg
34268.jpg,http://assets.myntassets.com/v1/images/style/properties/ac58ac8ba032e345d43bd3cddc82680e_images.jpg
